ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Brands
40,simple,"'-&&&é'é-_à-""à",,"Presto Riz Long",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,20,Uncategorized,,,,,,,,,,,,0,
42,simple,'-&&&é'é-_à-'è,,"Presto Riz Rond",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,18,Uncategorized,,,,,,,,,,,,0,
43,simple,'-&&&é'é-_à--&,,"Presto Riz Etuvé",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
64,simple,,,"Pantene 90ml",1,0,hidden,,,,,taxable,,0,0,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
65,simple,,,"Pantene 90ml",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
66,simple,,,"Clear 360ml",1,0,hidden,,,,,taxable,,0,0,,0,0,,,,,1,,,28,Uncategorized,,,,,,,,,,,,0,
67,simple,'-éé&&((à(_(éé,,"Clear 360ml",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,28,Uncategorized,,,,,,,,,,,,0,
68,simple,"'-éé&&((à-((""è",,"Clear 90ml",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
69,simple,"(ààà&è'à""(&((",,"Head and shoulders 200ml",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,20,Uncategorized,,,,,,,,,,,,0,
70,simple,"(à&&""é&""-é'à-",,"Head and Shoulders 90ml",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
71,simple,,,"Isabel Huile",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
72,simple,,,"Isabel Tomate",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
73,simple,"(à(""ççà&àè""""ç",,"Pringles 40g rouge",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,12,Uncategorized,,,,,,,,,,,,0,
74,simple,"(à(""ççà&àè""_'",,"Pringles 40g vert",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,12,Uncategorized,,,,,,,,,,,,0,
75,simple,"(à(""ççà&àèéçé",,"Pringles 40g noir",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,12,Uncategorized,,,,,,,,,,,,0,
76,simple,"(à(""ççà&à&(çè",,"Pringles 165g vert",1,0,hidden,,,,,taxable,,1,9,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
77,simple,"(à(""ççà&-&--ç",,"Pringles 165g Orange",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
78,simple,"(à(""ççà&à&(è""",,"Pringles 165g Rouge",1,0,hidden,,,,,taxable,,1,9,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
79,simple,"(à(""ççà&-&ç--",,"Pringles 165g Mauve",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
80,simple,"è-ééé&à_""'""_-",,"Milka Caramel 100g",1,0,hidden,,,,,taxable,,1,22,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
81,simple,"è-ééé&à_""'è(&",,"Milka Oreo 100g",1,0,hidden,,,,,taxable,,1,23,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
82,simple,'-&&&àéçàààà'à,,"Pain de sucre 2kg",1,0,hidden,,,,,taxable,,1,16,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
83,simple,'-&&&àéçààà&&_,,"Lingots de sucre the 1kg",1,0,hidden,,,,,taxable,,1,25,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
84,simple,"(é_(ààà""ç-'""è",,"Indomie Boeuf",1,0,hidden,,,,,taxable,,1,96,,0,0,,,,,1,,,3,Uncategorized,,,,,,,,,,,,0,
85,simple,"(çàéç''ç&""&çé",,"Tomy Chat 415g",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
86,simple,"(ççç(è(&&à""""(",,"Shadow 100g",1,0,hidden,,,,,taxable,,1,32,,0,0,,,,,1,,,6,Uncategorized,,,,,,,,,,,,0,
87,simple,'-&&&é'éà'éè_à,,"Conikos Barbecue petit",1,0,hidden,,,,,taxable,,1,28,,0,0,,,,,1,,,"3,5",Uncategorized,,,,,,,,,,,,0,
88,simple,'-&&&é'éà'&'èç,,"Leader chips Kebab",1,0,hidden,,,,,taxable,,1,28,,0,0,,,,,1,,,"3,5",Uncategorized,,,,,,,,,,,,0,
89,simple,,,"Fromage triangle Cheezy 24 portions",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,24,Uncategorized,,,,,,,,,,,,0,
90,simple,,,"Fromage triangle Cheezy  1 portion",1,0,hidden,,,,,taxable,,0,0,,0,0,,,,,1,,,"1,5",Uncategorized,,,,,,,,,,,,0,
91,simple,'-&&&àéçààà'ç&,,"sucre granule 2kg",1,0,hidden,,,,,taxable,,1,20,,0,0,,,,,1,,,11,Uncategorized,,,,,,,,,,,,0,
92,simple,'-&&&àéçàààà-',,"sucre granule 1kg",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,6,Uncategorized,,,,,,,,,,,,0,
93,simple,"'-ç""ç&&'&àà(&_",,"champignon Arbella 150g",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
94,simple,'-&&&àççààà(çç,,"huile Leo 1L",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,18,Uncategorized,,,,,,,,,,,,0,
95,simple,'-&&&àççààà(_é,,"Huile Leo 1/2L",1,0,hidden,,,,,taxable,,1,30,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
96,simple,6111258520012,,"Pipas NOWARA 50G",1,0,hidden,,,,,taxable,,1,108,,0,0,,,,,1,,,"3,5",Uncategorized,,,,,,,,,,,,0,
97,simple,"'-&&&é""éàà'è&é",,"Pate at tartiner Chocoland 350g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
98,simple,_'&à'àçà&é'ç_,,"Rockstar 500ml",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,20,Uncategorized,,,,,,,,,,,,0,
